epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,4521.85,0.79989,1.12047,2.25949,0.93304,0,0.84924,0.83115,0.88061,0.74325,0.84417,0.81141,0.87008,0.64704,0.94323,1.45334,2.74458,1.01438,0,0.0007822,0.0007822,0.0007822
46,4621.02,0.79726,1.0919,2.25407,0.93159,0,0.85664,0.89717,0.90495,0.76693,0.84917,0.86949,0.88587,0.66741,0.94053,1.28409,2.56261,1.0062,0,0.00077725,0.00077725,0.00077725
47,4721.58,0.78098,1.08166,2.20869,0.92441,0,0.84966,0.85414,0.9008,0.76489,0.83648,0.83926,0.88415,0.66617,0.92964,1.35178,2.57788,0.99549,0,0.0007723,0.0007723,0.0007723
48,4825.27,0.78868,1.10219,2.227,0.92246,0,0.80341,0.84411,0.86174,0.71367,0.78922,0.82146,0.83886,0.62042,0.95395,1.49334,2.65936,1.00083,0,0.00076735,0.00076735,0.00076735
49,4925.09,0.78936,1.09254,2.19274,0.93151,0,0.85928,0.8884,0.91359,0.76934,0.83981,0.86962,0.89336,0.66428,0.94667,1.28788,2.51528,1.00372,0,0.0007624,0.0007624,0.0007624
50,5025.04,0.77847,1.08254,2.18198,0.92349,0,0.87413,0.87661,0.9173,0.78129,0.8936,0.841,0.90171,0.68564,0.93491,1.30903,2.52718,0.99606,0,0.00075745,0.00075745,0.00075745
51,5124.14,0.77596,1.07054,2.17425,0.92552,0,0.85678,0.88927,0.91044,0.7729,0.83996,0.87127,0.88992,0.67773,0.9209,1.26054,2.58943,0.98717,0,0.0007525,0.0007525,0.0007525
52,5219.64,0.76045,1.04953,2.14565,0.92178,0,0.85699,0.90154,0.905,0.76919,0.84223,0.88232,0.8896,0.67877,0.90768,1.32987,2.45291,0.99486,0,0.00074755,0.00074755,0.00074755
53,5318.62,0.76628,1.06254,2.16384,0.92195,0,0.87886,0.86877,0.90299,0.77133,0.86449,0.85619,0.89071,0.68024,0.91059,1.29895,2.60725,0.98821,0,0.0007426,0.0007426,0.0007426
54,5419.47,0.7817,1.09802,2.17286,0.92478,0,0.86413,0.86885,0.88393,0.74799,0.85041,0.8559,0.86689,0.66417,0.90789,1.27125,2.49002,0.99271,0,0.00073765,0.00073765,0.00073765
55,5519.97,0.77761,1.04172,2.1531,0.92374,0,0.8709,0.84346,0.88231,0.75001,0.86254,0.82823,0.87065,0.65408,0.91028,1.21299,2.51353,0.99188,0,0.0007327,0.0007327,0.0007327
56,5619.8,0.76601,1.04004,2.10129,0.92185,0,0.85733,0.87645,0.88626,0.7573,0.86787,0.83436,0.86462,0.65358,0.90571,1.25035,2.55487,0.99332,0,0.00072775,0.00072775,0.00072775
57,5719.93,0.75632,1.02979,2.0883,0.91802,0,0.87953,0.88242,0.91462,0.78406,0.87967,0.86256,0.89715,0.68101,0.90066,1.25159,2.41324,0.98209,0,0.0007228,0.0007228,0.0007228
58,5821.83,0.75389,1.02669,2.07943,0.91896,0,0.87618,0.89244,0.90441,0.77559,0.86317,0.87423,0.8927,0.68448,0.90018,1.23983,2.48694,0.98295,0,0.00071785,0.00071785,0.00071785
59,5922.17,0.75443,1.04454,2.0886,0.91683,0,0.85576,0.88822,0.88608,0.76653,0.84585,0.87405,0.87718,0.67374,0.89171,1.29643,2.48089,0.98373,0,0.0007129,0.0007129,0.0007129
60,6021.2,0.75853,1.04291,2.08264,0.91519,0,0.81732,0.86418,0.87371,0.73357,0.81744,0.83497,0.85865,0.63773,0.96474,1.29545,2.65475,1.00938,0,0.00070795,0.00070795,0.00070795
61,6121.86,0.74241,1.04091,2.01815,0.91005,0,0.86942,0.85495,0.90312,0.76699,0.86818,0.83088,0.88488,0.674,0.94194,1.41872,2.48162,0.99223,0,0.000703,0.000703,0.000703
62,6224.1,0.75014,1.05219,2.04884,0.91151,0,0.8617,0.89058,0.91175,0.77069,0.84866,0.87167,0.88891,0.67337,0.91605,1.30463,2.388,0.98883,0,0.00069805,0.00069805,0.00069805
63,6326.51,0.74874,1.0542,2.07137,0.90951,0,0.85685,0.89414,0.89912,0.7675,0.85444,0.87501,0.8837,0.66745,0.91434,1.27746,2.45516,0.98631,0,0.0006931,0.0006931,0.0006931
64,6427.38,0.75328,1.05114,2.05632,0.91104,0,0.86895,0.87469,0.90044,0.77017,0.87248,0.85377,0.88418,0.66162,0.91221,1.31642,2.51594,0.98332,0,0.00068815,0.00068815,0.00068815
65,6527.32,0.74263,1.0156,2.04085,0.91502,0,0.85609,0.87454,0.8944,0.76832,0.85719,0.86049,0.89266,0.67372,0.90412,1.28581,2.45089,0.97364,0,0.0006832,0.0006832,0.0006832
66,6626.32,0.74504,1.02804,2.03186,0.91623,0,0.88407,0.8906,0.91122,0.77549,0.87875,0.86375,0.89013,0.66664,0.91964,1.26431,2.40735,0.98184,0,0.00067825,0.00067825,0.00067825
67,6726.37,0.73458,1.04087,2.03419,0.9148,0,0.85802,0.86532,0.89009,0.76604,0.85754,0.83918,0.87123,0.6588,0.90543,1.27713,2.48059,0.97988,0,0.0006733,0.0006733,0.0006733
68,6825.19,0.74333,1.0172,2.0321,0.9121,0,0.83445,0.83047,0.85584,0.73269,0.82158,0.81516,0.83823,0.62368,0.93576,1.35386,2.48855,0.98834,0,0.00066835,0.00066835,0.00066835
69,6924.74,0.73235,1.02127,1.9925,0.90843,0,0.8781,0.8848,0.91533,0.78961,0.87062,0.86174,0.89754,0.69475,0.87914,1.20676,2.34015,0.9815,0,0.0006634,0.0006634,0.0006634
