epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,2693.15,0.88019,1.2577,2.56228,0.95154,0,0.80865,0.83141,0.85941,0.71982,0.78853,0.81715,0.84476,0.62979,0.97183,1.32686,2.77775,1.02542,0,0.00081685,0.00081685,0.00081685
39,2763.98,0.88378,1.25645,2.56841,0.95834,0,0.82089,0.83594,0.86821,0.71619,0.81462,0.82761,0.86008,0.62507,0.9477,1.34723,2.69703,1.02607,0,0.0008119,0.0008119,0.0008119
40,2835.72,0.8824,1.2644,2.561,0.95373,0,0.81347,0.8604,0.88495,0.73994,0.83152,0.82588,0.87241,0.64095,0.96311,1.37799,2.83167,1.00889,0,0.00080695,0.00080695,0.00080695
41,2904.75,0.86019,1.21059,2.48955,0.94329,0,0.82797,0.86279,0.88588,0.74892,0.8206,0.85377,0.87667,0.65306,0.9417,1.31144,2.76866,1.01123,0,0.000802,0.000802,0.000802
42,2974.12,0.85796,1.23634,2.49603,0.94582,0,0.82233,0.87623,0.88465,0.74218,0.84686,0.82469,0.87011,0.65876,0.95229,1.29454,2.67176,1.00389,0,0.00079705,0.00079705,0.00079705
43,3045.6,0.87375,1.20667,2.4894,0.94792,0,0.84225,0.83861,0.86775,0.71954,0.82947,0.82634,0.85117,0.61989,1.00126,1.38156,2.85889,1.03497,0,0.0007921,0.0007921,0.0007921
44,3116.1,0.86976,1.20392,2.5534,0.95676,0,0.86627,0.82477,0.85992,0.70861,0.85216,0.80182,0.83539,0.60675,1.04845,1.32463,2.85759,1.04089,0,0.00078715,0.00078715,0.00078715
45,3184.8,0.89683,1.25314,2.55505,0.95998,0,0.84406,0.83522,0.87314,0.72816,0.83311,0.81885,0.85935,0.6409,0.95324,1.30107,2.71628,1.01507,0,0.0007822,0.0007822,0.0007822
46,3255.97,0.8614,1.22273,2.41685,0.94163,0,0.84001,0.88016,0.89794,0.75248,0.85201,0.84521,0.88254,0.66018,0.95136,1.30451,2.62902,1.00658,0,0.00077725,0.00077725,0.00077725
47,3324.93,0.85711,1.16939,2.46805,0.95163,0,0.82546,0.88691,0.89013,0.74316,0.81491,0.87353,0.87622,0.64699,0.94464,1.36981,2.70002,1.00372,0,0.0007723,0.0007723,0.0007723
48,3394.06,0.85887,1.18975,2.42598,0.9417,0,0.83543,0.84918,0.87562,0.73708,0.84405,0.81621,0.85677,0.64728,0.93327,1.31013,2.59887,1.01277,0,0.00076735,0.00076735,0.00076735
49,3462.09,0.85714,1.18987,2.42182,0.94065,0,0.81311,0.80372,0.84849,0.70956,0.80016,0.79011,0.8322,0.61608,0.94305,1.3545,2.66079,1.01639,0,0.0007624,0.0007624,0.0007624
50,3529.29,0.85348,1.19729,2.42673,0.94582,0,0.81499,0.85531,0.87716,0.72488,0.82243,0.82248,0.85565,0.64197,0.93674,1.31403,2.67567,1.01426,0,0.00075745,0.00075745,0.00075745
51,3599.44,0.8493,1.17843,2.42797,0.94164,0,0.81918,0.85194,0.87141,0.71338,0.80777,0.82435,0.84883,0.6234,0.978,1.30198,2.76968,1.02559,0,0.0007525,0.0007525,0.0007525
52,3667.41,0.85697,1.17625,2.46302,0.95209,0,0.86435,0.83009,0.88839,0.74482,0.86968,0.80851,0.86884,0.64821,0.9705,1.31227,2.61348,1.02367,0,0.00074755,0.00074755,0.00074755
53,3735.54,0.84963,1.18754,2.41936,0.94343,0,0.8363,0.86856,0.88951,0.74502,0.82951,0.85281,0.87182,0.65103,0.94755,1.34851,2.62406,1.01742,0,0.0007426,0.0007426,0.0007426
54,3805.83,0.85082,1.22707,2.39903,0.93869,0,0.87741,0.8375,0.88664,0.74858,0.86083,0.81931,0.86471,0.65343,0.93079,1.30415,2.6042,1.00539,0,0.00073765,0.00073765,0.00073765
55,3875.33,0.84741,1.18112,2.37434,0.9383,0,0.8623,0.84186,0.88301,0.74417,0.84895,0.82863,0.87107,0.65958,0.92127,1.27544,2.64752,1.00327,0,0.0007327,0.0007327,0.0007327
56,3946.83,0.83067,1.19037,2.32528,0.93575,0,0.88441,0.86108,0.89014,0.75673,0.87145,0.84281,0.87195,0.66246,0.93505,1.25401,2.49348,1.00107,0,0.00072775,0.00072775,0.00072775
57,4018.76,0.82367,1.15272,2.32918,0.93682,0,0.86085,0.85889,0.89316,0.75791,0.84382,0.84322,0.87263,0.66107,0.93847,1.39811,2.53508,1.00376,0,0.0007228,0.0007228,0.0007228
58,4087.93,0.84552,1.18858,2.37423,0.93907,0,0.85693,0.87383,0.89328,0.75504,0.85312,0.84301,0.87523,0.66353,0.94661,1.27387,2.57589,1.00144,0,0.00071785,0.00071785,0.00071785
59,4158.45,0.84151,1.1955,2.34081,0.93496,0,0.85926,0.87324,0.88014,0.74373,0.84362,0.85469,0.86185,0.64758,0.92312,1.28144,2.57477,1.01629,0,0.0007129,0.0007129,0.0007129
60,4230.03,0.82622,1.16251,2.29085,0.9313,0,0.8553,0.85768,0.8885,0.74829,0.84916,0.83478,0.87193,0.66443,0.92042,1.3015,2.50363,1.0077,0,0.00070795,0.00070795,0.00070795
61,4299.46,0.83906,1.18678,2.3203,0.93713,0,0.87168,0.85171,0.88525,0.74244,0.85985,0.82556,0.86475,0.64684,0.94813,1.3412,2.65978,1.00471,0,0.000703,0.000703,0.000703
62,4367.92,0.82812,1.16841,2.30966,0.93188,0,0.85674,0.87746,0.89671,0.74784,0.8394,0.84906,0.87542,0.64925,0.98037,1.31462,2.64452,1.02743,0,0.00069805,0.00069805,0.00069805
63,4439.09,0.8476,1.21895,2.33053,0.93509,0,0.85287,0.86194,0.8828,0.74071,0.8387,0.8387,0.8635,0.64652,0.95902,1.34294,2.57607,1.00658,0,0.0006931,0.0006931,0.0006931
64,4508.82,0.82856,1.17632,2.27309,0.93068,0,0.85075,0.86958,0.8842,0.76212,0.83413,0.84815,0.86509,0.66164,0.88675,1.31986,2.52779,0.98631,0,0.00068815,0.00068815,0.00068815
65,4579.18,0.82838,1.16669,2.26754,0.9276,0,0.82523,0.83462,0.87562,0.74164,0.80614,0.8144,0.85481,0.63529,0.92236,1.32115,2.51705,0.98719,0,0.0006832,0.0006832,0.0006832
66,4650.94,0.81628,1.14991,2.24824,0.92894,0,0.82892,0.84877,0.84648,0.71072,0.80957,0.82488,0.82281,0.6082,0.92811,1.34705,2.56877,1.00287,0,0.00067825,0.00067825,0.00067825
67,4719.8,0.80861,1.13984,2.22959,0.9231,0,0.83813,0.85589,0.87815,0.74532,0.84257,0.82514,0.86151,0.64463,0.92149,1.24742,2.57889,1.0017,0,0.0006733,0.0006733,0.0006733
68,4788.77,0.82615,1.15362,2.2757,0.93277,0,0.85674,0.87999,0.88984,0.75021,0.84191,0.86081,0.87537,0.66106,0.92997,1.30284,2.51468,1.001,0,0.00066835,0.00066835,0.00066835
69,4857.34,0.8028,1.15024,2.19551,0.92023,0,0.87054,0.88057,0.89503,0.76038,0.85671,0.85498,0.87518,0.66104,0.90961,1.22839,2.49823,0.98784,0,0.0006634,0.0006634,0.0006634
70,4928.43,0.81676,1.15946,2.2649,0.92924,0,0.84962,0.87881,0.89602,0.76306,0.83678,0.85414,0.87569,0.66972,0.92428,1.32631,2.48364,0.99428,0,0.00065845,0.00065845,0.00065845
71,4995.37,0.81773,1.15269,2.25535,0.92964,0,0.84001,0.84214,0.86945,0.73305,0.8269,0.81579,0.8515,0.61757,0.94368,1.27496,2.58425,1.00496,0,0.0006535,0.0006535,0.0006535
72,5066.99,0.81349,1.16511,2.21415,0.9206,0,0.87207,0.87152,0.89409,0.75952,0.8558,0.85625,0.87983,0.65851,0.92825,1.29831,2.49019,1.00597,0,0.00064855,0.00064855,0.00064855
